idcvlac,autores,nombre,tipo,nit,registro_camara,verificado,palabras,areas,sectores
0000901644,"JORGE ALEJANDRO GARCERA GARCES, JULIA ANDREA OSORIO HENAO",Fundación Trópico Vivo,off,900722018-5,2014-04,True,Empoderamiento de economías sustentables;COMUNIDAD;CICLOS SOCIONATURALES DEL AGUA;apropiación social del conocimiento ecotecnol;ENFOQUE CONSTRUCTIVISTA;Gestión colectiva del agua raizal;Gobernanza campesina consuetudinaria del agua;manejo territorial endógeno;usos conjuntivos;Vocación Agroalimentaria,"Ciencias Sociales;Economía y Negocios;Negocios y Management, Ingeniería y Tecnología;Ingeniería Ambiental;Ingeniería Ambiental y Geológica, Ciencias Sociales;Geografía Social y Económica;Geografía Económica y Cultural, Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía), Ciencias Sociales;Geografía Social y Económica;Ciencias Ambientales (Aspectos Sociales)",Educación
0001380834,JULIO EDGAR MUNOZ CASTRO,Innovactiva Ingeniería S.A.S,off,900396460,2014-06,False,No Aplica,No Aplica,No Aplica
0000011924,ERNESTO LEON RODRIGUEZ FLOREZ,EcoSyllaba Latinoamérica S.A.S,up,900901394-8,2015-10,False,TIC´s;Nuevas Tecnologias;Redes IPv6;Internet2;Redes Inalambricas;Realidad Virtual;Software Cientifico;Software Educativo;Streaming;Video Juego;WiFi,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones, Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Información y Bioinformática",Otros sectores
0001493543,GUSTAVO ADOLFO FUENTES DELGADO,Human Geografix,up,901011639,2016-09,True,turismo;tic;Planificación Turística;Marketing;Gestión Tecnológica;administración de Empresas,"Ciencias Sociales;Economía y Negocios;Negocios y Management, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones","Productos y servicios de recreación,culturales, artísticos y deportivos, Desarrollo de programas (software) y prestación de servicios en informática"
0001399064,CARLOS ANDRES DURAN ENRIQUEZ,Consultoría Ambiental Liquen SAS,up,900981615-2,2016-06,False,No Aplica,Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Ciencias del Medio Ambiente,"Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000547972,CARLOS ERNESTO ORTEGA GARCIA,CONECQUIDAD Empresa Social SAS,up,9014095838,2020-08,False,No Aplica,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria",No Aplica
0001549475,WILLIAM ALEXANDER GONZALEZ,Lathar Studios,up,900.399.926-2,2017-12,False,No Aplica,No Aplica,No Aplica
0000397334,ORLANDO GONZALEZ BONILLA,Furgoriente S.A.,up,900296680-3,2009-06,True,No Aplica,Ingeniería y Tecnología;Ingeniería Mecánica;Mecánica Aplicada,No Aplica
0001354803,ROMAN SANTIAGO ARTUNDUAGA NARVAEZ,COMPETIR COLOMBIA SAS,up,9005422766,2012-09,False,No Aplica,No Aplica,No Aplica
0000870994,WILFRED FABIAN RIVERA MARTINEZ,Fundación CrediGO,up,901028079-1,2016-11,True,No Aplica,No Aplica,No Aplica
0000870994,WILFRED FABIAN RIVERA MARTINEZ,BUXTAR CORP SAS,up,9008188691,2015-02,True,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0000870994,WILFRED FABIAN RIVERA MARTINEZ,SMARTSOFTPLAY S.A.S,up,900714751-2,2014-06,True,TIC;emprendimiento,No Aplica,Desarrollo de programas (software) y prestación de servicios en informática
0000348570,ALBERTO DE JESUS GONZALEZ RAMIREZ,TOTEMS LIMITADA,off,900218932-1,2008-05,False,No Aplica,No Aplica,No Aplica
0001601713,ALEJANDRO ROMERO CAMPOS,Egob Consultoría SAS,up,900482036,2011-12,False,No Aplica,No Aplica,No Aplica
0001689744,ANA MARIA RIVERA MARTINEZ,Solmedia Digital,up,1061711590 - 8,2017-09,True,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Telecomunicaciones",No Aplica
0001689744,ANA MARIA RIVERA MARTINEZ,PERCENT STUDIOS SAS,up,901070274 - 9,2017-04,True,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica",No Aplica
0000007577,ANA MARITZA SOTELO MUNOZ,IDEAS GROUP,up,900.882.433-4,2015-09,False,No Aplica,No Aplica,No Aplica
0001436197,"DARIO FERNANDO CHAMORRO VELA, DIEGO FELIPE SANCHEZ GOMEZ",BeeTiC,up,900981802-3,2016-06,False,Agricultura de Precisión;Trazabilidad;TIC,No Aplica,No Aplica
0000031614,EDGAR CAMILO PEDRAZA ALARCON,APPSUS SAS,up,900977042-7,2016-06,True,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0000031614,"YANETH PATRICIA LOPEZ MUTIS, EDGAR CAMILO PEDRAZA ALARCON, CESAR ALBERTO SARRIA VILLA",HUTEK INC,up,900893882-5,2015-11,True,No Aplica,No Aplica,No Aplica
0000637939,HEYDY BELSY PABON ORTIZ,Inteligentemente,up,900518147,2012-04,False,No Aplica,Ciencias Sociales;Economía y Negocios;Negocios y Management,Actividades de asesoramiento y consultoría a las empresas
0001592722,JHOANNA CRISTYNA GUZMAN AGREDO,ENKI SOFTWARE AND CONSULTING SERVICES SAS,up,901147596-8,2018-01,False,No Aplica,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,No Aplica
0000021880,"JUAN CAMILO OSPINA QUINTERO, JAIRO DAVID ERAZO BOTERO, WILFRED FABIAN RIVERA MARTINEZ",Smartsoft Play,up,900714751-2,2014-03,False,No Aplica,No Aplica,No Aplica
0000021880,"JHOANNA CRISTYNA GUZMAN AGREDO, JUAN CAMILO OSPINA QUINTERO",Enki Software and Consulting Services SAS,up,901147596-8,2018-01,False,No Aplica,No Aplica,No Aplica
0001465825,JUAN FERNANDO CASANOVA OLAYA,Ecotecma S.A.S,up,9006980967,2014-02,True,No Aplica,"Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Agricultura, Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Ciencias del Suelo, Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Agronomía, Ingeniería y Tecnología;Ingeniería Ambiental;Sensores Remotos, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Telecomunicaciones, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Automatización y Sistemas de Control, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001543888,JULIANA AGUILAR PINO,IDEAS GROUP,up,900.882.433-4,2016-08,False,No Aplica,No Aplica,No Aplica
0000082866,MARIA CRISTINA CHAPARRO VELASCO,Vult SAS,up,900973863-9,2016-05,False,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Hardware y Arquitectura de Computadores",No Aplica
0000117994,PAOLA ANDREA OTERO CANO,Green Fish,up,1061721372-1,2016-11,True,No Aplica,No Aplica,No Aplica
0001469933,"DIEGO FELIPE SANCHEZ GOMEZ, ROBERT MAURICIO QUINONES ZUNIGA, JHONATAN ALVAREZ CAICEDO, DARIO FERNANDO CHAMORRO VELA",BeeTIC,up,900981802,2016-06,False,TIC;Agricultura,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,"Agricultura, pecuaria, silvicultura, explotación forestal"
0000021883,VICTOR GARZON MARIN,Percent Studios SAS,up,901070274-9,2017-04,False,No Aplica,No Aplica,No Aplica
0001386997,BIBIANA YEANETH GARCES CONSTAIN,Kishrón,up,900892750-7,2019-01,False,No Aplica,No Aplica,No Aplica
0001623116,JHON ALEXANDER GUERRERO NARVAEZ,Ecoingeniería Sostenible S.A.S,up,901209774-1,2018-08,True,No Aplica,No Aplica,No Aplica
0000352691,EDGAR LEONAIRO PENCUE FIERRO,Sintevsa Tecnologías Digitales Ltda,off,900215099-7,2008-04,False,No Aplica,No Aplica,No Aplica
0001176676,"CARLOS FELIPE ORDONEZ URBANO, CESAR ALBERTO SARRIA VILLA",hutek inc sas,up,900893882-5,2015-09,False,Diseño Hardware/software;Internet de los Objetos;Servicios y plataformas web;Sistema de VideoVigilancia;Sistema de monitoreo,No Aplica,No Aplica
0000040856,JHONATTAN SOLARTE MARTINEZ,Medical Cloud S.A.S,off,900.971.963-8,2016-05,False,Gestion Clinica Pacientes;Historia Clinica;Software Nube,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0000013021,JUAN CARLOS CORRALES MUNOZ,Corporación Centro Internacional de Investigacion e Innovacion del Agua,off,900443430-1,2011-06,False,No Aplica,"Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Ciencias del Medio Ambiente, Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Investigación del Clima, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001481137,JOHAN EDGAR TIQUE RAMIREZ,ANALISISTEM,up,901176834,2014-02,False,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Hardware y Arquitectura de Computadores, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0000352683,OSCAR MAURICIO CAICEDO RENDON,Software Mobile Solutions,off,900.010.113-1,2005-02,False,No Aplica,No Aplica,No Aplica
0001519135,CAMILO ANDRES ANDRADE OJEDA,Three marketing Publicidad S.A.S (Star Up Red Tecnoparque nodo Neiva),up,900929911-8,2016-02,False,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001519135,CAMILO ANDRES ANDRADE OJEDA,VAD vision Architecture,up,901010560-0,2016-09,False,Design Thinking;Marketing;Neiva;Servicios,Humanidades;Arte;Artes audiovisuales,Otros sectores
0001519135,CAMILO ANDRES ANDRADE OJEDA,Artra café S.A.S,off,901314173-2,2019-08,False,No Aplica,No Aplica,No Aplica
0001519135,CAMILO ANDRES ANDRADE OJEDA,Proyector,off,1075310929-1,2019-06,False,No Aplica,No Aplica,No Aplica
0000427047,DEYA AMPARO PEREZ ZUNIGA,Casa Fresh S.A.S.,up,900661984-2,2013-10,True,No Aplica,"Ingeniería y Tecnología;Ingeniería Química;Ingeniería de Procesos, Ciencias Naturales;Otras Ciencias Naturales;Otras Ciencias Naturales",Fabricación de productos químicos
0000427047,DEYA AMPARO PEREZ ZUNIGA,"Asociación de fabricantes, comercializadores y distribuidores de productos de cosmetología, aseo y belleza, Kiwe. ASOFACOSKIWE",up,900607419-3,2013-10,True,producción;procesos;Cadenas productivas,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Fabricación de productos químicos
0000427047,DEYA AMPARO PEREZ ZUNIGA,Yumagora S.A.S. 900927996,up,900927996,2013-05,True,No Aplica,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Fabricación de productos químicos
0000427047,DEYA AMPARO PEREZ ZUNIGA,Cafecao S.A.S.,up,900816120-3,2015-02,True,No Aplica,Ingeniería y Tecnología;Ingeniería Química;Ingeniería Química (Plantas y Productos),Fabricación de productos químicos
0001364033,"JUAN DIEGO OTERO SARMIENTO, FERNANDO ANDRES MUNOZ GOMEZ, JUAN CARLOS JAIMES CORREA, MARIA MELINA FLOREZ CUADROS",Hydroclimate Technologies ¿ MOCLI,off,En maduración tecnológica,2022-03,False,No Aplica,"Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Investigación del Clima, Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Meteorología y Ciencias Atmosféricas, Ciencias Naturales;Otras Ciencias Naturales;Otras Ciencias Naturales","Agricultura, pecuaria, silvicultura, explotación forestal"
0001530076,JULIAN ANDRES GARCES MUNOZ,Urbe Smart S.A.S.,up,900883020,2015-04,True,No Aplica,"Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías, Ciencias Sociales;Economía y Negocios;Negocios y Management","Desarrollo Urbano, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000373770,"HECTOR SAMUEL VILLADA CASTILLO, JOSE FERNANDO SOLANILLA DUQUE, CARLOS ARTURO LEON ROA",Zona Franca Paz - ZonaPAZ,off,901141339-4,2017-12,True,Almidón de yuca;Agrocadena;Desarrollo Empresarial;Alimentos;Empaques biodegradables;Empaques semirrigidos biodegradables;Patentes;Postharvest,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Actividades de asesoramiento y consultoría a las empresas
0000012467,"APOLINAR FIGUEROA CASAS, JUAN CARLOS CORRALES MUNOZ",CORPORACION CENTRO INTERNACIONAL DE INVESTIGACION E INNOVACION DEL AGUA,off,900443430-1,2011-06,True,Agro ecosistema;Aplicaciones telematicas;CONSERVACION;Cambio Climatico ;Cambio de la cobertura vegetal;Desarrollo;ciencia e investigación;Ecologia cambio Global;Gestion Ambiental;Investigación,"Ciencias Naturales;Ciencias Biológicas;Ecología, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica",Otros sectores
0000588040,SILVIO ANDRES ORDONEZ ZUNIGA,BioSIG Ciencia & Ingeniería,up,900684561-1,2013-12,False,No Aplica,Ingeniería y Tecnología;Biotecnología Ambiental;Biotecnología Ambiental,No Aplica
0000187488,"ALEXI PAYARES ORTIZ, ARMANDO AGUILERA TORRADO",Fundación reeducativa profuturo,up,829000469-8,2016-12,True,Jóvenes;Atención;Características Psicológicas;Buen trato;Consumo de drogas;Derechos Humanos;Efectos Psicosociales;Etica;Familia;Factores de riesgo;Gravedad consumo de drogas;Intervención Psicosocial;Modelos Psicológicos de Intervención,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria",Salud humana
0000018983,JULIAN ANDRES MERA PAZ,Servicenter.net Popayan,off,102949380,2011-03,False,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Hardware y Arquitectura de Computadores, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Telecomunicaciones",No Aplica
