idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,plataforma,ambiente,palabras,areas,sectores
0000773735,"ANDREA JOVANNA ORTEGA RODRIGUEZ, LEIDY PAOLA DORADO MUNOZ",Monitoreo de Señales Eléctricas Generadas en la Actividad Cerebral,Computacional,False,,,Colombia,2005,Windows,LabView,No Aplica,"Ingeniería y Tecnología;Ingeniería Médica;Ingeniería Médica, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica",Desarrollo de programas (software) y prestación de servicios en informática
0000419184,CESAR AUGUSTO QUINAYAS BURGOS,EDUBOT,Otra,False,EDUBOT,,Colombia,2020,,,No Aplica,No Aplica,No Aplica
0000000319,JHON JAIRO REALPE,dfdafdf,Computacional,False,,,No Aplica,2020,,,No Aplica,No Aplica,No Aplica
0000000319,JHON JAIRO REALPE,Analisis 1,Multimedia,False,,,Colombia,2020,Analisis 1,Analisis 1,No Aplica,No Aplica,No Aplica
0000773646,"RONALD HURTADO VELASCO, JESUS DAVID GONZALEZ LLORENTE",Visualizador de campo magnético terrestre,Computacional,False,CP 3555,IN.BG.086.17.003,Colombia,2017,,,No Aplica,"Ciencias Naturales;Otras Ciencias Naturales;Otras Ciencias Naturales, Ingeniería y Tecnología;Ingeniería Mecánica;Ingeniería Aeroespacial, Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Geociencias (Multidisciplinario), Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Meteorología y Ciencias Atmosféricas",No Aplica
0000773646,"RONALD HURTADO VELASCO, JESUS DAVID GONZALEZ LLORENTE",Simulador de control manual de orientación de un CubeSat por ruedas de reacción,Computacional,False,Simulador de control manual de orientación de un CubeSat por ruedas de reacción,0208-2013,Colombia,2016,,,No Aplica,"Ingeniería y Tecnología;Ingeniería Mecánica;Ingeniería Aeroespacial, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Automatización y Sistemas de Control, Ciencias Naturales;Otras Ciencias Naturales;Otras Ciencias Naturales",No Aplica
0000378631,"WILLFRAND PEREZ URBANO, LUIS FELIPE IDROBO",Porous Silicon,Computacional,False,,,Colombia,2003,Visual Basic 6.0,,Fuente de corriente;Silicio Poroso;Proceso Electroquímico;Comunicación serial,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica, Ingeniería y Tecnología;Ingeniería de los Materiales;Compuestos (Laminados, Plásticos Reforzados, Fibra Sintéticas y Naturales)",Desarrollo de programas (software) y prestación de servicios en informática
0001368173,"ALEX ARMANDO TORRES BERMUDEZ, PLATAFORMA DE GESTIÓN Y PROMOCIÓN DE LA INVESTIGACIÓN FORMATIVA EN UNICOMFACAUCA",ZONA NORTE,Computacional,False,,,Colombia,2017,"El software cuenta con un alto nivel de innovación permitiendo gestionar todo el proceso de investigación de la zona norte a partir de tres grandes ejes: Promoción de la Investigación Formativa, Formación en Investigación. y Actividades conjuntas de trabajo de Red. Permite gestionar estos ejes y está diseñada en base a esta propuesta de evaluación con un enfoque ABP (Aprendizaje Basado en Proyectos), como parte de la estrategia pedagógica aplicada dentro de los procesos y proyectos de aula desarrollados durante cada semestre académico en cada uno de los programas ofrecidos en la zona norte",,No Aplica,No Aplica,No Aplica
0001535173,ANDERSON PECHENE TUNUBALA,SISTEMA DE INFORMACIÓN PARA EL ACUEDUCTO SAN ROQUE V2,Computacional,False,SISTEMA DE INFORMACIÓN PARA EL ACUEDUCTO SAN ROQUE V2,,Colombia,2015,,,No Aplica,No Aplica,No Aplica
0001606175,ANYELA MARCELA RIVERA MERA,Gestión Documental de Archivos,Computacional,False,,002,Colombia,2014,,,No Aplica,No Aplica,No Aplica
0000894796,"BIBIANA PATRICIA MONTOYA BONILLA, JULIO EDUARDO MEJIA MANZANO, DAVID ARMANDO REVELO LUNA",SISTEMA DE MONITOREO REMOTO PARA CULTIVOS EN INVERNADERO,Computacional,False,,CONVENIO 300 DE 2016,Colombia,2019,,,No Aplica,"Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Agricultura","Productos y servicios de recreación,culturales, artísticos y deportivos, Agricultura, pecuaria, silvicultura, explotación forestal"
0000894796,"BIBIANA PATRICIA MONTOYA BONILLA, FRANCISCO JAVIER OBANDO VIDAL, JULIO EDUARDO MEJIA MANZANO",Sistema de informacion de procesamiento de imagenes y visualizacion de NDVI georreferenciado,Computacional,False,,CONVENIO 300 DE 2016,Colombia,2019,,Mathlab,No Aplica,"Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Agricultura","Agricultura, pecuaria, silvicultura, explotación forestal"
0001361780,CLARA LUCIA BURBANO GONZALEZ,LectoEduca,Computacional,False,LectoEduca,,Colombia,2019,Se utiliza ambientes de aprendizaje virtual como proceso de mediación pedagógica con estudiantes,El ambiente de aprendizaje se trabajo la plataforma moodle para organizar el objeto de aprendizaje y los recursos de apoyo,Aprendizaje Colaborativo;B-Learning;Espacios Virtuales de Enseñanza y Aprendizaje;Juegos Serios;La técnica ;Mediaticas Educativas,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Educación
0001361780,"JULIO EDUARDO MEJIA MANZANO, CLARA LUCIA BURBANO GONZALEZ",JUEGO LÚDICO PARA LA TEMÁTICA ¿ROBOTS APLICADOS A LA LOGÍSTICA¿ - VERSION 2.0,Computacional,True,,,Colombia,2019,PHP,Lenguaje C,Aprendizaje Colaborativo;B-Learning;Espacios Virtuales de Enseñanza y Aprendizaje;Juegos Serios;Mediaticas Educativas,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Educación
0001361780,CLARA LUCIA BURBANO GONZALEZ,Piensa Seguro APP,Computacional,False,,,Colombia,2021,Se desarrollo en un ambiente virtual de aprendizaje (AVA),Plataforma educativa Virtual,Aprendizaje Colaborativo;B-Learning;Espacios Virtuales de Enseñanza y Aprendizaje;Mediaticas Educativas;Seguridad;Seguridad Informatica;Sistema software,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Educación
0001361780,CLARA LUCIA BURBANO GONZALEZ,Juego Ludico,Computacional,False,Juego Ludico,,Colombia,2019,LMS - Moodle,Modalidad B-Learning,Aprendizaje Colaborativo;B-Learning;Espacios Virtuales de Enseñanza y Aprendizaje,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,No Aplica
0001361780,CLARA LUCIA BURBANO GONZALEZ,Mineros Bitcom,Computacional,False,Mineros Bitcom,,Colombia,2019,La plataforma de trabajo se realizo por medio de ambientes virtuales de aprendizaje,Lúdico con características de aprendizaje en el aula,Aprendizaje Colaborativo;B-Learning;Espacios Virtuales de Enseñanza y Aprendizaje;Juegos Serios;La técnica ;Mediaticas Educativas,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001361780,"GABRIEL ELIAS CHANCHI GOLONDRINO, CLARA LUCIA BURBANO GONZALEZ, JULIO RICARDO MARTINEZ MONTEZUMA",Juego Binarios V1.0,Computacional,True,Juego Binarios V1.0,,Colombia,2018,"Al estar implementada en el lenguaje Java, la herramienta es multiplataforma, es decir que puede ser ejecutada en sistemas operativos como Windows o Linux",,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Educación
0001361780,"CLARA LUCIA BURBANO GONZALEZ, GABRIEL ELIAS CHANCHI GOLONDRINO, JULIO RICARDO MARTINEZ MONTEZUMA, GUSTAVO EDUARDO CONSTAIN MORENO",NumbersV1.0,Computacional,True,NumbersV1.0,,Colombia,2019,La herramienta puede ser ejecutada desde el navegador con soporte para HTML5 en diferentes sistemas operativos,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Educación
0000333816,EDGAR MATALLANA SANCHEZ,SOFTWARE MANEJO PISCÍCOLA,Computacional,False,SOFTWARE MANEJO PISCÍCOLA,,Colombia,2018,,,Ajuste de dieta;Software;Tilapia,"Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Pesca","Agricultura, pecuaria, silvicultura, explotación forestal"
0001462299,"EVER GREGORIO MARTINEZ ROMERO, EDGAR MATALLANA SANCHEZ",SOFWARE MANEJO PISCICOLA,Computacional,False,,,Colombia,2018,,,No Aplica,"Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Pesca",Pesca acuicultura y maricultura
0000178423,"LOU STEPHEN BONNAIRE RIVERA, FRANCISCO JAVIER OBANDO VIDAL, BIBIANA PATRICIA MONTOYA BONILLA, JULIO EDUARDO MEJIA MANZANO",Sistema de información para la identificación del estrés hídrico y la absorción de nutrientes de la planta de café variedad castillo,Computacional,False,SISTEMA DE INFORMACIÓN DE PROCESAMIENTO DE IMAGENES Y VISUALIZACIÓN DE NDVI GEOREFENCIADO,6-81.2/015,Colombia,2018,,Matlab,No Aplica,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,"Agricultura, pecuaria, silvicultura, explotación forestal"
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,PLAYDISGRAM,Computacional,False,,,No Aplica,2020,,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,AccesibilidadWeb2.0,Computacional,False,AccesibilidadWeb2.0,,No Aplica,2019,,,No Aplica,No Aplica,No Aplica
0001353314,"MARIA CLARA GOMEZ ALVAREZ, GABRIEL ELIAS CHANCHI GOLONDRINO",REQUISITOSV1.0,Computacional,False,REQUISITOSV1.0,,Colombia,2019,,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, YENNY MAGALY CASTRILLON BOLANOS, CLAUDIA MARGARITA CHANCHI GOLONDRINO",APLICATIVO PARA LA INSPECCIÓN DE USABILIDAD WEB,Computacional,False,APLICATIVO PARA LA INSPECCIÓN DE USABILIDAD WEB,,Colombia,2019,,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,Juego Binarios V1.0,Computacional,False,Juego Binarios V1.0,,No Aplica,2018,,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,"Dataset de contenidos musicales latinos, basado en el análisis lingüístico de las letras de las canciones",Computacional,False,"Dataset de contenidos musicales latinos, basado en el análisis lingüístico de las letras de las canciones",,Colombia,2018,,,Arquitectura;Codificación;Contenido Multimedia,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,HERRAMIENTA ACADÉMICA ALFA DE CRONBACH V1.0,Computacional,False,HERRAMIENTA ACADÉMICA ALFA DE CRONBACH V1.0,,Colombia,2018,,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,"HERRAMIENTA PARA LA EJECUCIÓN DE PRUEBAS DE USABILIDAD BAJO EL ENFOQUE DE MOUSE TRACKING ""SEGUIMIENTOMOUSE""",Computacional,False,"HERRAMIENTA PARA LA EJECUCIÓN DE PRUEBAS DE USABILIDAD BAJO EL ENFOQUE DE MOUSE TRACKING ""SEGUIMIENTOMOUSE""",,Colombia,2019,,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,"Herramienta para la estimación de la satisfacción en pruebas de usabilidad, a partir de la expresión facial",Computacional,False,,,Colombia,2018,,,No Aplica,No Aplica,No Aplica
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,HERRAMIENTA SOFTWARE PARA EVALUAR LA USABILIDAD DE PORTALES WEB DIRIGIDOS A LA POBLACIÓN INFANTIL,Computacional,False,HERRAMIENTA SOFTWARE PARA EVALUAR LA USABILIDAD DE PORTALES WEB DIRIGIDOS A LA POBLACIÓN INFANTIL,,Colombia,2019,,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,Herramienta para la evaluación de la satisfacción en pruebas de usabilidad bajo el enfoque de pensamiento en voz alta - WDEV,Computacional,False,Herramienta para la evaluación de la satisfacción en pruebas de usabilidad bajo el enfoque de pensamiento en voz alta - WDEV,,Colombia,2018,,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,Juego de Palabras V1.0,Computacional,False,,,Colombia,2018,,,No Aplica,No Aplica,No Aplica
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, WILMAR YESID CAMPO MUNOZ, MARTA CECILIA CAMACHO OJEDA",HERRAMIENTA WEB DE MONITOREO DE CPU Y MEMORIA RAM PARA PROCESOS DEL SISTEMA OPERATIVO,Computacional,False,HERRAMIENTA WEB DE MONITOREO DE CPU Y MEMORIA RAM PARA PROCESOS DEL SISTEMA OPERATIVO,,Colombia,2015,La herramienta web de monitoreo de CPU y memoria RAM fue desarrollada en el lenguaje Python a través del framework web flask y puede ser ejecutada sobre el sistema operativo linux,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, WILMAR YESID CAMPO MUNOZ, JOSE LUIS ARCINIEGAS HERRERA",HERRAMIENTA WEB DE MEDICIÓN DE ESTRÉS,Computacional,False,Herramienta web de medición de estrés,,Colombia,2015,La herramienta web de medición de estrés fue desarrollada en el lenguaje Python a través del framework web flask y puede ser ejecutada sobre el sistema operativo linux,,estrés;medición,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, WILMAR YESID CAMPO MUNOZ, FRANCO ARTURO URBANO ORDONEZ, MARTA CECILIA CAMACHO OJEDA",HERRAMIENTA DE CODIFICACIÓN DE CONTENIDOS MULTIMEDIA EDUCATIVOS FENODA CONVERTER,Computacional,False,HERRAMIENTA DE CODIFICACIÓN DE CONTENIDOS MULTIMEDIA EDUCATIVOS FENODA CONVERTER,,Colombia,2015,La herramienta web de monitoreo de CPU y memoria RAM fue desarrollada en el lenguaje Python a través del framework web flask y puede ser ejecutada sobre el sistema operativo linux,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001365599,GUSTAVO ANDRES URIBE GOMEZ,Plataforma de Adaptación de Contenidos Web para Móviles,Computacional,False,OneWeb,,Colombia,2008,Java Runtime + Servidor de aplicaciones Tomcat,,No Aplica,No Aplica,No Aplica
0001365599,GUSTAVO ANDRES URIBE GOMEZ,NexoGame,Computacional,False,NexoGame,,Colombia,2006,Java Runtime,,No Aplica,No Aplica,No Aplica
0000523496,"MANUEL JOSE SANTIAGO PAJAJOYO, GUSTAVO EDUARDO CONSTAIN MORENO, PAULA ANDREA MORA PEDREROS, ANDRES FABIAN ARIAS NORENA",PLATAFORMA SOFTWARE OBSERVATORIO FILOSÓFICO VIRTUAL,Computacional,False,PLATAFORMA SOFTWARE OBSERVATORIO FILOSÓFICO VIRTUAL,13-78-290,Colombia,2020,,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones, Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",Desarrollo de programas (software) y prestación de servicios en informática
0000523496,"GUSTAVO EDUARDO CONSTAIN MORENO, MANUEL JOSE SANTIAGO PAJAJOYO, PAULA ANDREA MORA PEDREROS, ANDRES FABIAN ARIAS NORENA",GAMOTION,Computacional,False,GAMOTION,13-77-362,Colombia,2019,,Virtual,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones, Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",Desarrollo de programas (software) y prestación de servicios en informática
0000523496,GUSTAVO EDUARDO CONSTAIN MORENO,Diagrama Causa-Efecto como herramienta de trabajo colaborativo en línea,Otra,False,Diagrama Causa-Efecto,,Colombia,2008,web,Web,No Aplica,No Aplica,No Aplica
0000523496,"CESAR ALBERTO COLLAZOS ORDONEZ, GUSTAVO EDUARDO CONSTAIN MORENO",FRIDA,Computacional,False,FRIDA,,Colombia,2022,"Framework FRIDA funcional en plataforma web, App instalables en dispositivos móviles Android o Apple",,FRIDA;Accesible software;Inclusive applications;Autism Spectrum Disorder -ASD;Emotional skills;framework;human centered design;Human Computer Interaction HCI,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Productos y procesos biotecnológicos
0000523496,"GUSTAVO EDUARDO CONSTAIN MORENO, MANUEL JOSE SANTIAGO PAJAJOYO, PAULA ANDREA MORA PEDREROS, ANDRES FABIAN ARIAS NORENA",SISTEMA MOOC CATEDRA DE PAZ,Computacional,False,,13-79-21,Colombia,2020,,,No Aplica,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",Educación
0001499924,HELDER YESID CASTRILLON COBO,Tics -Salud,Computacional,False,Tics Salud,,Colombia,2013,,,No Aplica,No Aplica,No Aplica
0001499924,HELDER YESID CASTRILLON COBO,"GRAPHTOCOV - Un grafo de conocimiento para la visualización de información de vacunación Covid en Colombia, basado en el estándar FHIR de hl7",Computacional,False,GRAPHTOCOV,,Colombia,2022,,,No Aplica,No Aplica,No Aplica
0001499924,HELDER YESID CASTRILLON COBO,LABORATORIO DE INTERFACES WEB,Computacional,False,LABORATORIO DE INTERFACES WEB,,Colombia,2022,,,No Aplica,No Aplica,No Aplica
0001499924,HELDER YESID CASTRILLON COBO,APP MÓVIL PARA LA ENSEÑANZA DE LOS DERECHOS SEXUALES Y REPRODUCTIVOS A JOVENES,Computacional,False,,,Colombia,2019,Android studio,Móvil,No Aplica,No Aplica,No Aplica
0001499924,"ANGELA PATRICIA RODRIGUEZ URRESTE, HELDER YESID CASTRILLON COBO",Game reading,Computacional,False,Game Reading,,Colombia,2020,"Validación no se deja actualizar --- La validación se hizo con grupos de estudiantes de distintos semestres y carreras, se utilizados dos aplicaciones con distintas estrategias de lectoescritura, de forma que se logra evidenciar como la aplicación Gamereading que implementa el concepto de literatura comparada motiva al estudiante en la lectura ( gusto por la lectura)",Web,No Aplica,No Aplica,No Aplica
0001253220,INGRID PAOLA SOLANO BENITEZ,SOFTWARE CAUCAFE DE LA FINCA,Computacional,True,SOFTWARE CAUCAFE DE LA FINCA,,Colombia,2015,,,No Aplica,No Aplica,No Aplica
0001253220,INGRID PAOLA SOLANO BENITEZ,SISTEMA DE INFORMACIÓN ACUEDUCTO SAN ROQUE V2,Computacional,True,,,Colombia,2015,,,No Aplica,No Aplica,No Aplica
0001253220,INGRID PAOLA SOLANO BENITEZ,SISTEMA DE INFORMACIÓN PARA EL ACUEDUCTO DE SAN ROQUE,Computacional,True,,,Colombia,2014,,,No Aplica,No Aplica,No Aplica
0001253220,INGRID PAOLA SOLANO BENITEZ,MODULO BIENESTAR SNIES,Computacional,True,,,Colombia,2014,,,No Aplica,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,No Aplica
0001253220,INGRID PAOLA SOLANO BENITEZ,MODULO PROYECTOS DE INVESTIGACIÓN,Computacional,True,,005,Colombia,2015,,,No Aplica,No Aplica,No Aplica
0001253220,INGRID PAOLA SOLANO BENITEZ,MODULO PAZ Y SALVO,Computacional,True,,004,Colombia,2015,,,No Aplica,No Aplica,No Aplica
0001253220,INGRID PAOLA SOLANO BENITEZ,MODULO CONSULTORIA,Computacional,True,,006,Colombia,2015,,,No Aplica,No Aplica,No Aplica
0001253220,INGRID PAOLA SOLANO BENITEZ,MODULO PQRS,Computacional,True,,003,Colombia,2014,,,No Aplica,No Aplica,No Aplica
0001253220,"INGRID PAOLA SOLANO BENITEZ, ANYELA MARCELA RIVERA MERA",GESTIÓN DOCUMENTAL DE ARCHIVOS,Computacional,True,,002,Colombia,2014,,,No Aplica,No Aplica,Desarrollo de programas (software) y prestación de servicios en informática
0000374920,JAIR MENDOZA CEBALLOS,Sistema para la Administracion Telefonica - SAT,Computacional,False,Sistema para la Administracion Telefonica - SAT,,Colombia,1988,UNIX - Bases de Datos,Base de Datos,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica",Desarrollo de programas (software) y prestación de servicios en informática
0000212440,JOSE WILDEMAN ORDONEZ VALVERDE,Servicio Web Agropecuario,Computacional,False,,,Colombia,2006,"Php5, XML, SOAP, Ajax, Postgress",GPL,Agropecuario;Bases de Datos;Gestión;Integración;Organización de Información;Sistema de Información,"Ciencias Sociales;Periodismo y Comunicaciones;Ciencias de la Información (Aspectos Sociales), Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Información y Bioinformática",Desarrollo de programas (software) y prestación de servicios en informática
0000212440,JOSE WILDEMAN ORDONEZ VALVERDE,GESTOR: Sistema de Información de Gestión Gerencial para Empresas,Computacional,False,,,Colombia,2005,"Php5, Ajax, Postgress, ORACLE",GPL,Bases de Datos;Eficiencia;Estadística;Gestión;Indicadores de Gestión;Información,"Ciencias Sociales;Economía y Negocios;Negocios y Management, Ciencias Sociales;Ciencias Políticas;Administración Pública","Desarrollo de programas (software) y prestación de servicios en informática, Desarrollo de programas (software) y prestación de servicios en informática"
0000212440,"JOSE WILDEMAN ORDONEZ VALVERDE, EQUIPO DE DESARROLLO ANTARES TECNOLOGIA",Sistema de Información del Plan Indigena,Computacional,False,,,Colombia,2000,Windows NT 4.0 y SQL Server 7.0,Windows,Gestión;Servicios;Plan Indigena;Organización de Información,No Aplica,Desarrollo de programas (software) y prestación de servicios en informática
0000212440,JOSE WILDEMAN ORDONEZ VALVERDE,Sistema administrativo - académico para Instituciones Universitarias,Computacional,False,SI Administrativo - Académico,001-2008,Colombia,2008,Php,Linux,No Aplica,No Aplica,No Aplica
0000212440,"JOSE WILDEMAN ORDONEZ VALVERDE, EQUIPO DE DESARROLLO ANTARES TECNOLOGIA",Sistema Integrado de Nómina para la Gobernación del Cauca,Computacional,False,,,Colombia,2001,Windows NT 4.0 y SQL Server 7.0,Windows,Integración;Nómina;Procesos;Eficiencia;Gráfico;Bases de Datos,No Aplica,Desarrollo de programas (software) y prestación de servicios en informática
0000212440,JOSE WILDEMAN ORDONEZ VALVERDE,Sistema de Información para Inventario y Control de PYMES,Computacional,False,,,Colombia,2001,Windows 98,Windows,PYMES;Gestión;Inventarios;Control de Producción,No Aplica,Desarrollo de programas (software) y prestación de servicios en informática
0000212440,JOSE WILDEMAN ORDONEZ VALVERDE,Sistema de Información para control de Encuestas,Computacional,False,,,Colombia,2000,Windows 98 y SQL Server 7.0,Windows,Información;Encuestas;Estadística,No Aplica,Desarrollo de programas (software) y prestación de servicios en informática
0001412477,JULIAN FERNANDO MUNOZ ORDONEZ,SISTEMA PARA EL APOYO EN LA REHABILITACIÓN DE PACIENTES CON PROBLEMAS DE MOVILIDAD Y MOTRICIDAD EN LAS MANOS BASADO EN UN AMBIENTE DE REALIDAD VIRTUAL UTILIZANDO LEAP-MOTION,Computacional,False,SISTEMA PARA EL APOYO EN LA REHABILITACIÓN DE PACIENTES CON PROBLEMAS DE MOVILIDAD Y MOTRICIDAD EN LAS MANOS BASADO EN UN AMBIENTE DE REALIDAD VIRTUAL UTILIZANDO LEAP-MOTION,DIV- 2019.03.25,Colombia,2020,,,Ambientes virtuales;Realidad virtual,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Desarrollo de programas (software) y prestación de servicios en informática
0001412477,JULIAN FERNANDO MUNOZ ORDONEZ,SISTEMA DE CONTROL DE ACCESO BASADO EN EL RECONOCIMIENTO FACIAL Y DE VOZ UTILIZANDO INTELIGENCIA ARTIFICIAL,Computacional,False,Sistema de control de acceso basado en el reconocimiento facial y de voz utilizando inteligencia artificial,DIV- 2019.03.22,Colombia,2020,,,Computer vision;Deep Learning;Procesamiento digital de imágenes,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Desarrollo de programas (software) y prestación de servicios en informática
0001412477,JULIAN FERNANDO MUNOZ ORDONEZ,SISTEMA PARA LA DETECCIÓN DE CAÍDAS DE PACIENTES EN AMBIENTES HOSPITALARIOS,Computacional,False,FALLDETECTIONAPP,DIV-2019.02.08,Colombia,2021,,,Computer vision;Deep Learning;Fall detection system;Machine learning,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001412477,JULIAN FERNANDO MUNOZ ORDONEZ,OSD FRAMEWORK,Computacional,False,OilSpill Detection Framework,DIV- 2019.03.23,Colombia,2020,,,Remote Sensing;Computer vision;Deep Learning,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Desarrollo de programas (software) y prestación de servicios en informática
0001412477,JULIAN FERNANDO MUNOZ ORDONEZ,Sistema de asistencia a la conducción (SAC) de vehículos automotores basado en procesamiento digital de imágenes y sensores complementarios,Computacional,True,,,Colombia,2018,,,Procesamiento digital de imágenes;Visión artificial,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Desarrollo de programas (software) y prestación de servicios en informática
0001412477,JULIAN FERNANDO MUNOZ ORDONEZ,Framework para la creación de dataset de programación genética relacionado con coberturas vegetales utilizando imágenes satelitales,Computacional,True,FPGIS-19,,Colombia,2019,,,Procesamiento digital de imágenes;Visión artificial,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Desarrollo de programas (software) y prestación de servicios en informática
0001412477,JULIAN FERNANDO MUNOZ ORDONEZ,APLICACIÓN WEB PARA LA CLASIFICACIÓN DE RESIDUOS SÓLIDOS ORGÁNICOS E INORGÁNICOS,Computacional,False,EcologIA-Web,DIV- 2019.03.24,Colombia,2020,,,Computer vision;Deep Learning;Machine learning;Procesamiento digital de imágenes,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Desarrollo de programas (software) y prestación de servicios en informática
